California Patient Origin Report,,,,
Calendar Year 2022-2023,,,,
,,,,
FACILITY_NAME,- all -,,,
oshpd_id,- all -,,,
COUNTY_NAME,- all -,,,
pattype,- all -,,,
,,,,
Sum of discharges,year,,,
Row Labels,2022,2023,,
90260,14175,15038,,
90261,31,25,,
90262,33308,35987,,
90263,100,52,,
90264,94,89,,
90265,4133,4010,,
90266,8935,9028,,
90267,174,149,,
90270,11433,11794,,
90272,6459,6444,,
90274,8697,8808,,
90275,14189,14464,,
90277,11929,11969,,
90278,13188,13776,,
90280,40159,42286,,
90290,1680,1642,,
90291,8328,8443,,
90292,8179,8439,,
90293,3378,3478,,
90294,109,116,,
90295,198,215,,
90296,27,28,,
90301,18186,19963,,
90302,13634,13769,,
90303,12893,13101,,
90304,11853,12528,,
90305,7143,7286,,
90306,70,49,,
90307,52,56,,
90308,82,99,,
90309,59,80,,
90310,53,41,,
90312,16,10,,
90401,3647,4087,,
90402,3293,3273,,
90403,7836,8225,,
90404,9759,11770,,
90405,9332,9730,,
90406,211,255,,
90407,7,10,,
90408,76,62,,
90409,63,94,,
90410,3,6,,
90411,10,4,,
90501,19136,19840,,
90502,7840,8316,,
90503,15540,16110,,
90504,11546,12169,,
90505,13603,14539,,
90506,32,26,,
90507,33,63,,
90508,67,62,,
90509,11,19,,
90510,233,287,,
90601,14687,15344,,
90602,13571,13749,,
90603,8428,9046,,
90604,18421,19138,,
90605,19579,20620,,
90606,16040,16534,,
90607,171,210,,
90608,190,178,,
90609,112,105,,
90610,32,31,,
90637,159,160,,
90638,17193,17863,,
90639,66,55,,
90640,31757,32654,,
90650,45018,46583,,
90651,149,155,,
90652,77,66,,
90660,29797,31038,,
90661,36,46,,
90662,44,44,,
90670,7511,7737,,
90671,5,15,,
90701,6424,7025,,
90702,124,141,,
90703,14589,15072,,
90704,2271,2084,,
90706,34387,35603,,
90707,262,265,,
90710,12921,13502,,
90711,109,88,,
90712,11103,10916,,
90713,9014,9271,,
90714,158,181,,
90715,7917,8271,,
90716,6327,6541,,
90717,10772,11177,,
90723,22916,23756,,
90731,36223,37528,,
90732,9337,9784,,
90733,192,184,,
90734,96,85,,
90744,29066,30662,,
90745,26064,26924,,
90746,13156,13884,,
90747,28,44,,
90748,262,240,,
90749,178,146,,
90755,3745,3735,,
90801,734,795,,
90802,15144,16349,,
90803,8536,8784,,
90804,15158,16023,,
90805,41321,43436,,
90806,18834,21900,,
90807,11113,12156,,
90808,11569,12130,,
90809,163,189,,
90810,14888,15950,,
90813,31195,32611,,
90814,5288,5607,,
90815,11619,11706,,
90822,9,30,,
90831,23,32,,
90832,49,42,,
90833,1,1,,
90840,17,19,,
90842,7,2,,
90844,4,5,,
90847,9,,,
90848,2,1,,
90853,77,97,,
90895,2,2,,
91001,12423,13172,,
91003,90,82,,
91006,8235,8774,,
91007,9434,9769,,
91008,376,330,,
91009,75,54,,
91010,10951,11198,,
91011,5176,5402,,
91012,104,88,,
91016,15501,15711,,
91017,233,209,,
91020,2710,2936,,
91021,45,54,,
91023,4,9,,
91024,3171,3170,,
91025,87,134,,
91030,6273,6459,,
91031,162,152,,
91040,8401,8891,,
91041,87,82,,
91042,11671,12110,,
91043,54,58,,
91046,109,138,,
91066,119,136,,
91077,32,21,,
91101,6431,6388,,
91102,271,114,,
91103,12013,12735,,
91104,12339,12909,,
91105,5235,4677,,
91106,6501,6595,,
91107,9656,9875,,
91108,2563,2787,,
91109,438,423,,
91110,7,12,,
91114,68,56,,
91115,35,29,,
91116,40,40,,
91117,87,73,,
91118,44,51,,
91124,10,8,,
91125,41,34,,
91126,15,20,,
91188,6,6,,
91201,8562,8920,,
91202,7918,8053,,
91203,5994,6295,,
91204,7990,8145,,
91205,16035,16951,,
91206,12612,13279,,
91207,3640,3768,,
91208,6006,6141,,
91209,159,163,,
91210,134,169,,
91214,9127,9293,,
91221,75,45,,
91222,50,81,,
91224,55,106,,
91225,104,79,,
91226,87,104,,
91301,7304,7627,,
91302,7223,7615,,
91303,14435,16000,,
91304,23347,24328,,
91305,150,171,,
91306,20884,22598,,
91307,10701,12302,,
91308,124,166,,
91309,155,182,,
91310,80,67,,
91311,15854,17275,,
91313,194,187,,
91316,11194,11838,,
91321,15186,15936,,
91322,116,122,,
91324,12652,14171,,
91325,14103,15159,,
91326,11383,11972,,
91327,73,130,,
91328,734,128,,
91329,5,8,,
91330,105,115,,
91331,52958,56185,,
91333,150,141,,
91334,122,88,,
91335,36576,38281,,
91337,151,148,,
91340,18117,19272,,
91341,118,99,,
91342,46590,50647,,
91343,29245,31033,,
91344,19910,21258,,
91345,9374,10191,,
91346,133,136,,
91350,13038,13500,,
91351,13527,13941,,
91352,23807,26446,,
91353,133,152,,
91354,8441,8909,,
91355,10430,10482,,
91356,13284,14084,,
91357,182,195,,
91364,9534,10548,,
91365,269,275,,
91367,16756,17871,,
91371,11,10,,
91372,119,155,,
91376,167,177,,
91380,319,310,,
91381,5241,5650,,
91382,8,19,,
91383,7,10,,
91384,7660,8238,,
91385,40,55,,
91386,220,214,,
91387,16474,17096,,
91390,5718,5805,,
91392,226,222,,
91393,54,89,,
91394,109,131,,
91395,71,48,,
91396,97,94,,
91401,15694,18447,,
91402,36238,38308,,
91403,8421,8527,,
91404,159,151,,
91405,27095,28873,,
91406,23945,24886,,
91407,148,76,,
91408,73,105,,
91409,237,235,,
91410,11,18,,
91411,10986,11366,,
91412,82,123,,
91413,243,311,,
91416,177,166,,
91423,9253,9623,,
91426,117,109,,
91436,4685,4812,,
91470,6,5,,
91495,1,1,,
91501,6553,6973,,
91502,4338,4725,,
91503,134,104,,
91504,8514,9167,,
91505,9899,11044,,
91506,6165,6736,,
91507,49,62,,
91508,23,19,,
91510,275,181,,
91522,1,7,,
91523,6,7,,
91526,5,6,,
91601,13945,14946,,
91602,5226,5546,,
91603,166,137,,
91604,8120,8304,,
91605,25835,28306,,
91606,19131,20920,,
91607,10164,10842,,
91608,37,37,,
91609,39,60,,
91610,55,50,,
91611,2,1,,
91612,1,1,,
91614,118,104,,
91615,69,86,,
91616,14,26,,
91617,39,31,,
91618,1,4,,
91702,28956,30869,,
91706,34339,35915,,
91711,11486,12223,,
91714,36,14,,
91715,143,103,,
91716,22,32,,
91722,17049,17800,,
91723,10192,10782,,
91724,11885,12899,,
91731,13202,14705,,
91732,29023,29998,,
91733,21399,22715,,
91734,258,343,,
91735,31,31,,
91740,12859,14409,,
91741,9561,10263,,
91744,39002,40905,,
91745,19758,20499,,
91746,13127,14542,,
91747,350,312,,
91748,14941,16346,,
91749,28,34,,
91750,13123,13450,,
91754,11306,11724,,
91755,7828,8466,,
91756,40,57,,
91765,12479,12967,,
91766,35510,36519,,
91767,27782,28810,,
91768,17548,18818,,
91769,478,471,,
91770,20225,21860,,
91771,16,27,,
91772,27,24,,
91773,14190,14892,,
91775,6761,6863,,
91776,12314,13350,,
91778,94,118,,
91780,10486,10860,,
91788,179,183,,
91789,11405,11611,,
91790,20041,21280,,
91791,13576,14143,,
91792,10438,11318,,
91793,194,268,,
91801,17412,18559,,
91802,241,225,,
91803,9606,10024,,
91804,15,27,,
93510,2730,2955,,
93532,788,858,,
93534,32249,34161,,
93535,54079,56498,,
93536,32514,35310,,
93539,739,829,,
93543,7069,7941,,
93544,499,632,,
93550,47611,52416,,
93551,22252,23955,,
93552,19723,21901,,
93553,1009,950,,
93563,48,46,,
93584,269,276,,
93586,12,12,,
93590,785,1415,,
93591,4234,4803,,
90311,4,11,,
91521,1,1,,
91499,1,,,
91123,1,,,
91121,1,,,
91482,4,,,
91185,1,1,,
91184,,1,,
90846,,2,,
90205,,1,,
91199,,1,,
93599,,1,,
MADERA,80600,71003,,
93601,769,719,,
93604,266,292,,
93610,10332,9764,,
93614,4966,4867,,
93636,6782,7357,,
93637,21853,18148,,
93638,29724,23964,,
93639,289,360,,
93643,1294,1272,,
93644,3630,3507,,
93645,152,145,,
93653,466,540,,
93669,77,68,,
MARIN,105353,113039,,
94901,20053,21237,,
94903,13244,14500,,
94904,4836,5052,,
94912,470,482,,
94913,58,79,,
94914,101,124,,
94915,245,232,,
94920,4440,4638,,
94924,426,400,,
94925,3366,3680,,
94929,79,80,,
94930,3043,3196,,
94933,349,339,,
94937,303,353,,
94938,188,241,,
94939,2522,2750,,
94940,54,78,,
94941,9968,10532,,
94942,224,264,,
94945,7955,8591,,
94946,215,212,,
94947,11155,12024,,
94948,407,420,,
94949,8604,9152,,
94950,36,32,,
94956,570,555,,
94957,711,700,,
94960,4675,5133,,
94963,229,242,,
94964,784,1067,,
94965,4509,4964,,
94966,231,255,,
94970,209,199,,
94971,109,109,,
94973,497,618,,
94974,16,7,,
94976,90,111,,
94977,134,116,,
94978,121,132,,
94979,125,143,,
94998,2,,,
MARIPOSA,10433,10803,,
93623,24,22,,
95306,521,568,,
95311,1540,1567,,
95318,122,120,,
95325,36,49,,
95338,7502,7763,,
95345,451,501,,
95389,237,213,,
MENDOCINO,68283,70672,,
95410,446,504,,
95415,763,783,,
95417,112,88,,
95418,188,281,,
95420,124,160,,
95427,205,244,,
95428,2098,1996,,
95429,60,62,,
95432,163,163,,
95437,10218,11028,,
95445,847,1033,,
95449,1040,1074,,
95454,1741,1587,,
95456,429,440,,
95459,226,199,,
95460,1425,1653,,
95463,62,65,,
95466,727,689,,
95468,549,604,,
95469,1073,1039,,
95470,4270,4697,,
95481,522,735,,
95482,27401,28193,,
95488,110,125,,
95490,13011,12701,,
95494,114,134,,
95585,277,295,,
95587,82,100,,
MERCED,156444,161552,,
93620,5794,5995,,
93635,29643,30373,,
93661,7,6,,
93665,447,407,,
95301,19974,20479,,
95303,400,434,,
95312,166,170,,
95315,6736,6429,,
95317,272,280,,
95322,5240,5381,,
95324,3562,3615,,
95333,1286,1327,,
95334,8332,8268,,
95340,23772,24978,,
95341,19921,21230,,
95343,58,86,,
95344,357,350,,
95348,18677,19611,,
95365,2686,2746,,
95369,450,444,,
95374,1029,1101,,
95388,7635,7842,,
MODOC,7051,6781,,
96006,280,278,,
96015,180,164,,
96054,187,191,,
96101,5561,5274,,
96104,450,451,,
96108,119,74,,
96110,23,30,,
96112,79,123,,
96115,44,68,,
96116,128,128,,
MONO,6415,6622,,
93512,169,159,,
93517,185,160,,
93529,357,440,,
93541,260,269,,
93546,5337,5497,,
96107,95,84,,
96133,12,13,,
MONTEREY,219728,231234,,
93426,529,559,,
93450,437,447,,
93901,16794,18840,,
93902,621,533,,
93905,37966,39577,,
93906,32960,35321,,
93907,10659,11293,,
93908,4097,4230,,
93912,1245,1346,,
93915,616,629,,
93920,315,322,,
93921,1716,1711,,
93922,622,617,,
93923,4511,4769,,
93924,2427,2577,,
93925,807,850,,
93926,4487,4733,,
93927,13509,13369,,
93928,154,154,,
93930,11538,11885,,
93932,342,271,,
93933,12395,12895,,
93940,12220,13291,,
93942,488,471,,
93943,19,24,,
93944,530,509,,
93950,5886,6159,,
93953,1758,1731,,
93954,308,305,,
93955,17476,18035,,
93960,13191,14290,,
93962,280,305,,
95004,1573,1738,,
95012,6577,6670,,
95039,675,778,,
NAPA,67689,71527,,
94503,9584,9860,,
94508,1241,1255,,
94515,3692,3607,,
94558,33791,35839,,
94559,12471,14022,,
94562,68,65,,
94567,464,452,,
94573,136,126,,
94574,3783,3847,,
94576,94,83,,
94581,221,271,,
94599,2144,2100,,
NEVADA,44164,51055,,
95712,237,280,,
95724,34,33,,
95728,182,224,,
95924,470,466,,
95945,12961,15714,,
95946,4140,4848,,
95949,8973,10046,,
95959,6006,7368,,
95960,596,815,,
95975,684,791,,
95977,631,796,,
95986,96,98,,
96111,51,57,,
96160,328,311,,
96161,8532,9007,,
96162,243,201,,
NEVADA (state),25744,26224,,
NEVADA (state),25744,26224,,
ORANGE,1123421,1177479,,
90620,17692,18509,,
90621,13938,14610,,
90622,266,295,,
90623,4995,5045,,
90624,15,8,,
90630,15527,15822,,
90631,27982,28847,,
90632,164,160,,
90633,162,144,,
90680,12928,13275,,
90720,7205,7736,,
90721,19,15,,
90740,9633,9963,,
90742,356,338,,
90743,113,119,,
92602,6805,7234,,
92603,4817,4919,,
92604,8353,8317,,
92605,137,166,,
92606,6348,6235,,
92607,168,159,,
92609,162,171,,
92610,2852,2918,,
92612,8950,9292,,
92614,8141,8231,,
